"n","d","direct_elapsed","sparse_elapsed","speedup_sparse_vs_direct","occupancy_rate","theoretical_vertices","sparse_visited_median","prefix_nodes_median","visited_ratio_median","prefix_ratio_median","max_abs_error"
500,2,0.000500000000000012,0.000649999999999994,0.86363636363647,0.526111111111111,4,4,6,1,1.5,1.38777878078145e-17
500,3,2e-04,0.000250000000000016,0.833333333333284,0.193072702331961,8,7.5,14,0.9375,1.75,1.38777878078145e-17
500,4,0.000300000000000011,0.000349999999999984,0.875000000000089,0.0952044720949602,16,9.5,29,0.59375,1.8125,5.20417042793042e-18
500,5,4e-04,4e-04,1,0.0176103923712342,32,9,49,0.28125,1.53125,2.60208521396521e-18
500,6,0.000649999999999995,6e-04,1.08333333333332,0.00501554687310623,64,6,67,0.09375,1.046875,5.42101086242752e-19
500,7,0.0053,0.00229999999999999,2.18476190476191,0.00073402781909654,128,4,83.5,0.03125,0.65234375,1.35525271560688e-19
500,8,0.00679999999999998,0.0024,2.8148148148148,0.000173686097013761,256,3,98,0.01171875,0.3828125,3.3881317890172e-20
500,9,0.01495,0.00369999999999999,5.07779720279717,3.93047634822432e-05,512,2.5,116,0.0048828125,0.2265625,1.18584612615602e-20
500,10,0.03225,0.00230000000000001,13.9133333333332,6.02056952181879e-06,1024,2,127,0.001953125,0.1240234375,2.11758236813575e-21
500,11,0.0763500000000001,0.00355000000000003,22.5065681444988,1.4118873429573e-06,2048,1,128.5,0.00048828125,0.062744140625,1.27054942088145e-21
500,12,0.1767,0.00380000000000003,46.4999999999997,5.12356565854508e-07,4096,1,148.5,0.000244140625,0.0362548828125,1.58818677610182e-22
1000,2,0.000300000000000011,0.000399999999999956,0.750000000000111,0.537184343434344,4,4,6,1,1.5,1.38777878078145e-17
1000,3,0.000399999999999956,0.000400000000000045,0.999999999999778,0.249382716049383,8,8,14,1,1.75,1.38777878078145e-17
1000,4,0.000499999999999989,0.00055000000000005,0.916666666666538,0.0753858024691358,16,11,30,0.6875,1.875,6.93889390390723e-18
1000,5,0.000849999999999973,0.00190000000000001,0.48769230769228,0.0186371441661155,32,11.5,53,0.359375,1.65625,2.38524477946811e-18
1000,6,0.00289999999999999,0.00489999999999995,0.629596809924687,0.0040441771946874,64,9,80,0.140625,1.25,7.58941520739853e-19
1000,7,0.00970000000000002,0.0048,2.22950819672131,0.000895075075011263,128,6.5,104,0.05078125,0.8125,1.35525271560688e-19
1000,8,0.0118,0.00284999999999993,4.14039408867007,0.000171540324346553,256,4.5,123,0.017578125,0.48046875,6.7762635780344e-20
1000,9,0.0273,0.00415000000000001,6.52105263157893,4.1688909933912e-05,512,3,144,0.005859375,0.28125,2.03287907341032e-20
1000,10,0.0603000000000002,0.0105499999999999,8.60160818713467,7.63877892413953e-06,1024,2,159,0.001953125,0.1552734375,4.2351647362715e-21
1000,11,0.15705,0.0101500000000002,15.4647173489276,1.10749268423251e-06,2048,2,170,0.0009765625,0.0830078125,1.27054942088145e-21
1000,12,0.3195,0.0107000000000001,33.4233134920633,3.1277877475084e-07,4096,1.5,182,0.0003662109375,0.04443359375,2.64697796016969e-22
2000,2,0.000699999999999967,0.00269999999999993,0.274671052631568,0.55540293040293,4,4,6,1,1.5,3.46944695195362e-17
2000,3,0.000949999999999916,0.00374999999999996,0.449573863636343,0.228385251112524,8,8,14,1,1.75,1.38777878078145e-17
2000,4,0.0020999999999999,0.00239999999999991,0.8333333333333,0.0753978675645343,16,13,30,0.8125,1.875,1.04083408558609e-17
2000,5,0.00475000000000012,0.0028500000000001,1.71111111111109,0.0195588515470203,32,14,57,0.4375,1.78125,3.03576608295941e-18
2000,6,0.0075000000000001,0.00434999999999981,1.72489429175485,0.00459651659218535,64,12,90,0.1875,1.40625,8.67361737988404e-19
2000,7,0.0131499999999999,0.00495000000000019,2.62407407407396,0.00094876970563616,128,8.5,121,0.06640625,0.9453125,3.25260651745651e-19
2000,8,0.0202,0.00635000000000012,3.19827586206892,0.000177538330383174,256,6,150,0.0234375,0.5859375,8.13151629364128e-20
2000,9,0.0514,0.0084500000000002,6.15732574679922,3.51810526639385e-05,512,4,176,0.0078125,0.34375,3.3881317890172e-20
2000,10,0.11,0.00909999999999975,12.1684313009617,5.40207113469573e-06,1024,3,197.5,0.0029296875,0.19287109375,9.3173624197973e-21
2000,11,0.24855,0.00974999999999965,25.4527596376668,1.36811396644997e-06,2048,2,223,0.0009765625,0.10888671875,2.11758236813575e-21
2000,12,0.6758,0.0306999999999999,28.7861095814974,2.3332987706635e-07,4096,2,232,0.00048828125,0.056640625,3.70576914423756e-22
5000,2,0.00069999999999979,0.00135000000000041,0.555882352940794,0.591764705882353,4,4,6,1,1.5,1.38777878078145e-17
5000,3,0.000900000000000389,0.00109999999999993,0.818181818182258,0.268737672583827,8,8,14,1,1.75,1.73472347597681e-17
5000,4,0.00314999999999976,0.00700000000000037,0.840418353576082,0.0886551465063862,16,15,30,0.9375,1.875,6.93889390390723e-18
5000,5,0.00769999999999982,0.0067499999999999,1.20846394984325,0.019276997245179,32,19,61,0.59375,1.90625,3.03576608295941e-18
5000,6,0.02015,0.0123500000000004,1.61325459317581,0.00427955418381344,64,17,102,0.265625,1.59375,1.19262238973405e-18
5000,7,0.0301500000000001,0.01375,2.24476794621558,0.000781584879600934,128,13,149,0.1015625,1.1640625,3.79470760369926e-19
5000,8,0.0512500000000003,0.0150500000000001,3.4246212121212,0.00020353947810839,256,9,191,0.03515625,0.74609375,2.3039296165317e-19
5000,9,0.12955,0.0551499999999997,3.0119574502705,2.82128651936849e-05,512,6,228,0.01171875,0.4453125,3.55753837846806e-20
5000,10,0.3511,0.02975,11.9593433281958,6.01736475705405e-06,1024,4,261.5,0.00390625,0.25537109375,1.10114283143059e-20
5000,11,0.61075,0.0326,19.0858870967742,1.12418608654969e-06,2048,3,290,0.00146484375,0.1416015625,1.90582413132218e-21
5000,12,2.07955,0.0377000000000002,55.8685592291263,2.12703253661051e-07,4096,2,320,0.00048828125,0.078125,7.41153828847513e-22
10000,2,0.000499999999999545,0.000600000000000023,0.833333333332544,0.521303258145363,4,4,6,1,1.5,1.38777878078145e-17
10000,3,0.000900000000000034,0.00120000000000005,0.75,0.251925925925926,8,8,14,1,1.75,2.08166817117217e-17
10000,4,0.00229999999999961,0.00375000000000085,0.693627450980129,0.073968561024774,16,16,30,1,1.875,8.67361737988402e-18
10000,5,0.0048000000000016,0.00604999999999905,0.798930921053031,0.0220182411233548,32,23,62,0.71875,1.9375,3.46944695195361e-18
10000,6,0.0153000000000006,0.0111000000000004,1.48214285714286,0.00453329690594904,64,23,112,0.359375,1.75,1.73472347597681e-18
10000,7,0.0346500000000006,0.0213999999999998,1.67390109890112,0.00103287379972565,128,18,167,0.140625,1.3046875,5.42101086242752e-19
10000,8,0.0751499999999993,0.0205500000000001,3.65597470872403,0.00016783612856366,256,12,222,0.046875,0.8671875,3.11708124589582e-19
10000,9,0.17525,0.0485,4.21653022157045,2.69635705092381e-05,512,9,275,0.017578125,0.537109375,5.75982404132924e-20
10000,10,0.4181,0.0539000000000001,7.91825688435855,5.72538179625209e-06,1024,6,320,0.005859375,0.3125,1.35525271560688e-20
10000,11,0.848500000000001,0.0570000000000007,15.0354952570724,1.08742905366752e-06,2048,4,363,0.001953125,0.17724609375,2.43521972335611e-21
10000,12,2.0184,0.0559499999999985,36.0682960956326,1.6785769505836e-07,4096,3,399,0.000732421875,0.097412109375,1.00585162486448e-21
