"location","quantity","source_file","computed","expected","status"
"Table 2","ASH tested d","code/results/estimator_family_benchmarks.csv","2--6","2--6","OK"
"Table 2","ASH max speedup","code/results/estimator_family_benchmarks.csv","10.50","10.50","OK"
"Table 2","ASH d at max","code/results/estimator_family_benchmarks.csv","6","6","OK"
"Table 2","ASH max error","code/results/estimator_family_benchmarks.csv","0.00","0.00","OK"
"Table 2","LBFP tested d","code/results/estimator_family_benchmarks.csv","2--6","2--6","OK"
"Table 2","LBFP max speedup","code/results/estimator_family_benchmarks.csv","2.47","2.47","OK"
"Table 2","LBFP d at max","code/results/estimator_family_benchmarks.csv","6","6","OK"
"Table 2","LBFP max error","code/results/estimator_family_benchmarks.csv","4.16e-17","4.16e-17","OK"
"Table 2","GLBFP tested d","code/results/estimator_family_benchmarks.csv","2--6","2--6","OK"
"Table 2","GLBFP max speedup","code/results/estimator_family_benchmarks.csv","22.00","22.00","OK"
"Table 2","GLBFP d at max","code/results/estimator_family_benchmarks.csv","6","6","OK"
"Table 2","GLBFP max error","code/results/estimator_family_benchmarks.csv","5.55e-17","5.55e-17","OK"
"Section 5.1","correctness rows","code/results/correctness_checks.csv","64","64","OK"
"Section 5.1","max absolute density error","code/results/correctness_checks.csv","8.88e-16","8.88e-16","OK"
"Section 5.1","family max error below 6e-17","code/results/estimator_family_benchmarks.csv","5.55112e-17","< 6e-17","OK"
"Table 3","500 d_first","code/results/scaling_summary.csv","6","6","OK"
"Table 3","500 max speedup","code/results/scaling_summary.csv","46.50","46.50","OK"
"Table 3","500 d at max","code/results/scaling_summary.csv","12","12","OK"
"Table 3","500 min prefix ratio","code/results/scaling_summary.csv","0.036","0.036","OK"
"Table 3","500 max error","code/results/scaling_summary.csv","1.39e-17","1.39e-17","OK"
"Table 3","1000 d_first","code/results/scaling_summary.csv","7","7","OK"
"Table 3","1000 max speedup","code/results/scaling_summary.csv","33.42","33.42","OK"
"Table 3","1000 d at max","code/results/scaling_summary.csv","12","12","OK"
"Table 3","1000 min prefix ratio","code/results/scaling_summary.csv","0.044","0.044","OK"
"Table 3","1000 max error","code/results/scaling_summary.csv","1.39e-17","1.39e-17","OK"
"Table 3","2000 d_first","code/results/scaling_summary.csv","5","5","OK"
"Table 3","2000 max speedup","code/results/scaling_summary.csv","28.79","28.79","OK"
"Table 3","2000 d at max","code/results/scaling_summary.csv","12","12","OK"
"Table 3","2000 min prefix ratio","code/results/scaling_summary.csv","0.057","0.057","OK"
"Table 3","2000 max error","code/results/scaling_summary.csv","3.47e-17","3.47e-17","OK"
"Table 3","5000 d_first","code/results/scaling_summary.csv","5","5","OK"
"Table 3","5000 max speedup","code/results/scaling_summary.csv","55.87","55.87","OK"
"Table 3","5000 d at max","code/results/scaling_summary.csv","12","12","OK"
"Table 3","5000 min prefix ratio","code/results/scaling_summary.csv","0.078","0.078","OK"
"Table 3","5000 max error","code/results/scaling_summary.csv","1.73e-17","1.73e-17","OK"
"Table 3","10000 d_first","code/results/scaling_summary.csv","6","6","OK"
"Table 3","10000 max speedup","code/results/scaling_summary.csv","36.07","36.07","OK"
"Table 3","10000 d at max","code/results/scaling_summary.csv","12","12","OK"
"Table 3","10000 min prefix ratio","code/results/scaling_summary.csv","0.097","0.097","OK"
"Table 3","10000 max error","code/results/scaling_summary.csv","2.08e-17","2.08e-17","OK"
"Table 4","4 median speedup","code/results/occupancy_benchmarks.csv","1.20","1.20","OK"
"Table 4","4 median R_cost","code/results/occupancy_benchmarks.csv","0.853","0.853","OK"
"Table 4","4 criterion accuracy","code/results/occupancy_benchmarks.csv","1.00","1.00","OK"
"Table 4","6 median speedup","code/results/occupancy_benchmarks.csv","1.66","1.66","OK"
"Table 4","6 median R_cost","code/results/occupancy_benchmarks.csv","0.566","0.566","OK"
"Table 4","6 criterion accuracy","code/results/occupancy_benchmarks.csv","0.95","0.95","OK"
"Table 4","8 median speedup","code/results/occupancy_benchmarks.csv","3.61","3.61","OK"
"Table 4","8 median R_cost","code/results/occupancy_benchmarks.csv","0.286","0.286","OK"
"Table 4","8 criterion accuracy","code/results/occupancy_benchmarks.csv","0.90","0.90","OK"
"Table 4","10 median speedup","code/results/occupancy_benchmarks.csv","11.70","11.70","OK"
"Table 4","10 median R_cost","code/results/occupancy_benchmarks.csv","0.121","0.121","OK"
"Table 4","10 criterion accuracy","code/results/occupancy_benchmarks.csv","1.00","1.00","OK"
"Table 4","12 median speedup","code/results/occupancy_benchmarks.csv","10.42","10.42","OK"
"Table 4","12 median R_cost","code/results/occupancy_benchmarks.csv","0.085","0.085","OK"
"Table 4","12 criterion accuracy","code/results/occupancy_benchmarks.csv","1.00","1.00","OK"
"Section 5.5","criterion correct count","code/results/occupancy_benchmarks.csv","97","97","OK"
"Section 5.5","occupancy max absolute error","code/results/occupancy_benchmarks.csv","1.39e-17","1.39e-17","OK"
"Table 5","4 selector accuracy","code/results/mode_selector_benchmarks.csv","0.75","0.75","OK"
"Table 5","4 median regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","4 maximum regret","code/results/mode_selector_benchmarks.csv","1.38","1.38","OK"
"Table 5","6 selector accuracy","code/results/mode_selector_benchmarks.csv","0.95","0.95","OK"
"Table 5","6 median regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","6 maximum regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","8 selector accuracy","code/results/mode_selector_benchmarks.csv","0.95","0.95","OK"
"Table 5","8 median regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","8 maximum regret","code/results/mode_selector_benchmarks.csv","2.09","2.09","OK"
"Table 5","10 selector accuracy","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","10 median regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","10 maximum regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","12 selector accuracy","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","12 median regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Table 5","12 maximum regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Section 5.6","selector correct count","code/results/mode_selector_benchmarks.csv","93","93","OK"
"Section 5.6","selector median regret","code/results/mode_selector_benchmarks.csv","1.00","1.00","OK"
"Section 5.6","selector largest regret","code/results/mode_selector_benchmarks.csv","2.09","2.09","OK"
"Section 5.6","selector max absolute error","code/results/mode_selector_benchmarks.csv","1.39e-17","1.39e-17","OK"
